테스트 ID,기능 분류,테스트 케이스,테스트 단계,예상 결과,실제 결과,상태,테스트 일자,담당자,비고
AUTH-001,회원가입,정상 회원가입,"1. 회원가입 페이지 접속
2. 유효한 정보 입력
3. 가입 버튼 클릭",회원가입 성공 및 로그인 페이지 이동,,,,,
AUTH-002,회원가입,중복 이메일 검증,"1. 이미 존재하는 이메일 입력
2. 가입 시도",중복 이메일 에러 메시지 표시,,,,,
AUTH-003,회원가입,비밀번호 유효성 검증,"1. 짧은 비밀번호 입력
2. 가입 시도",비밀번호 규칙 에러 메시지 표시,,,,,
AUTH-004,로그인,정상 로그인,"1. 로그인 페이지 접속
2. 올바른 계정 정보 입력
3. 로그인 버튼 클릭",로그인 성공 및 대시보드 이동,,,,,
AUTH-005,로그인,잘못된 비밀번호,"1. 올바른 이메일, 잘못된 비밀번호 입력
2. 로그인 시도",로그인 실패 메시지 표시,,,,,
AUTH-006,로그인,로그인 상태 유지,"1. 로그인 상태 유지 체크
2. 로그인
3. 브라우저 종료 후 재접속",자동 로그인 유지,,,,,
AUTH-007,로그아웃,정상 로그아웃,1. 로그인 상태에서 로그아웃 버튼 클릭,로그아웃 및 홈 페이지 이동,,,,,
AUTH-008,비밀번호 재설정,이메일로 재설정,"1. 비밀번호 찾기 클릭
2. 이메일 입력
3. 재설정 링크 확인",재설정 이메일 발송 및 변경 가능,,,,,
AUTH-009,소셜 로그인,Google 로그인,"1. Google 로그인 버튼 클릭
2. Google 계정으로 인증",Google 계정으로 로그인 성공,,,,,
AUTH-010,세션 관리,서버 재시작 시 로그아웃,"1. 로그인 상태
2. 서버 재시작
3. 페이지 새로고침",자동 로그아웃 처리,,,,,
